当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,date
53,SZ002747,埃斯顿,27.48,2.017032,7.34,2025-02-27
54,SH600778,友好集团,7.12,0.7155600000000001,10.05,2025-02-27
55,SZ002527,新时达,18.9,1.21338,6.42,2025-02-27
56,SH600729,重庆百货,33.51,3.354351,10.01,2025-02-27
57,SH600592,龙溪股份,16.12,1.6168360000000002,10.03,2025-02-27
58,SH605378,野马电池,26.84,2.684,10.0,2025-02-27
59,SZ001306,夏厦精密,103.38,10.338,10.0,2025-02-27
60,SH603300,海南华铁,11.03,0.634225,5.75,2025-02-27
61,SZ002660,茂硕电源,12.08,1.210416,10.02,2025-02-27
62,SZ002048,宁波华翔,15.13,1.519052,10.04,2025-02-27
63,SH600519,贵州茅台,1485.56,25.9973,1.75,2025-02-27
64,SH603085,天成自控,15.38,1.539538,10.01,2025-02-27
65,SZ300458,全志科技,56.95,1.110525,1.95,2025-02-27
66,SZ920002,万达轴承,245.05,73.515,30.0,2025-02-27
67,SZ002575,群兴玩具,10.32,1.034064,10.02,2025-02-27
68,SH605066,天正电气,7.33,0.737398,10.06,2025-02-27
69,SH605300,佳禾食品,16.75,1.6716500000000003,9.98,2025-02-27
70,SH601956,东贝集团,5.98,0.593814,9.93,2025-02-27
71,SH600841,动力新科,6.23,0.6273610000000001,10.07,2025-02-27
72,SH600238,海南椰岛,6.38,0.638,10.0,2025-02-27
73,SZ301135,瑞德智能,31.06,6.218211999999999,20.02,2025-02-27
74,SZ300746,汉嘉设计,13.67,2.736734,20.02,2025-02-27
75,SH600839,四川长虹,11.86,-0.069974,-0.59,2025-02-27
76,SH603072,天和磁材,37.87,3.783213,9.99,2025-02-27
77,SH600580,卧龙电驱,28.04,-0.947752,-3.38,2025-02-27
78,SZ300915,海融科技,38.4,7.68,20.0,2025-02-27
79,SZ300229,拓尔思,28.26,1.853856,6.56,2025-02-27
80,SH605208,永茂泰,11.62,1.166648,10.04,2025-02-27
81,SZ002163,海南发展,9.89,0.989989,10.01,2025-02-27
82,SZ002717,岭南股份,4.02,0.2215019999999999,5.51,2025-02-27
83,SZ002354,天娱数科,7.88,0.184392,2.34,2025-02-27
84,SH600076,康欣新材,2.49,0.253482,10.18,2025-02-27
85,SH688256,寒武纪-U,796.0,1.0348,0.13,2025-02-27
86,SZ002456,欧菲光,13.96,-0.4174040000000001,-2.99,2025-02-27
87,SZ300718,长盛轴承,101.51,-4.9130840000000005,-4.84,2025-02-27
88,SZ002131,利欧股份,4.23,-0.126054,-2.98,2025-02-27
89,SH603336,宏辉果蔬,4.86,0.48357,9.95,2025-02-27
90,SH603663,三祥新材,25.4,2.12344,8.36,2025-02-27
91,SZ000032,深桑达Ａ,29.25,-2.925,-10.0,2025-02-27
92,SZ002277,友阿股份,6.11,0.450918,7.38,2025-02-27
93,SH601727,上海电气,8.64,-0.2808,-3.25,2025-02-27
94,SZ000536,华映科技,5.74,-0.408688,-7.12,2025-02-27
95,SZ000796,凯撒旅业,3.99,0.395808,9.92,2025-02-27
96,SH600203,福日电子,11.86,-1.040122,-8.77,2025-02-27
97,SZ300766,每日互动,52.3,0.3033399999999999,0.58,2025-02-27
98,SZ002306,中科云网,2.88,0.2856959999999999,9.92,2025-02-27
99,SZ000816,智慧农业,3.93,-0.346626,-8.82,2025-02-27
100,SZ002501,利源股份,2.48,-0.251472,-10.14,2025-02-27
1,SH600126,杭钢股份,13.25,-1.3236750000000002,-9.99,2025-02-28
2,SH603496,恒为科技,38.1,3.80619,9.99,2025-02-28
3,SH600206,有研新材,20.8,2.07792,9.99,2025-02-28
4,SZ002369,卓翼科技,13.08,-0.6095280000000001,-4.66,2025-02-28
5,SZ002582,好想你,11.8,1.17646,9.97,2025-02-28
6,SZ002276,万马股份,14.38,1.440876,10.02,2025-02-28
7,SZ002261,拓维信息,33.5,-1.6616,-4.96,2025-02-28
8,SH603200,上海洗霸,37.46,3.749746,10.01,2025-02-28
9,SZ000759,中百集团,10.47,0.50256,4.8,2025-02-28
10,SZ002167,东方锆业,9.79,0.979,10.0,2025-02-28
11,SH603663,三祥新材,27.94,2.7940000000000005,10.0,2025-02-28
12,SH601881,中国银河,16.66,-1.084566,-6.51,2025-02-28
13,SZ002298,中电兴发,7.84,0.7808640000000001,9.96,2025-02-28
14,SZ002031,巨轮智能,9.97,-0.7666930000000001,-7.69,2025-02-28
15,SH605100,华丰股份,25.32,2.529468,9.99,2025-02-28
16,SH600589,大位科技,7.41,0.467571,6.31,2025-02-28
17,SZ000158,常山北明,25.19,-2.519,-10.0,2025-02-28
18,SH600693,东百集团,6.78,0.682068,10.06,2025-02-28
19,SZ002065,东华软件,11.66,-1.169498,-10.03,2025-02-28
20,SZ300059,东方财富,23.23,-0.8664790000000001,-3.73,2025-02-28
21,SH601789,宁波建工,6.13,0.6160650000000001,10.05,2025-02-28
22,SH603660,苏州科达,9.44,0.5276959999999999,5.59,2025-02-28
23,SZ002178,延华智能,7.58,0.7587579999999999,10.01,2025-02-28
24,SZ300251,光线传媒,23.91,-0.363432,-1.52,2025-02-28
25,SH600238,海南椰岛,7.02,0.7041059999999999,10.03,2025-02-28
26,SH600811,东方集团,2.14,-0.157504,-7.36,2025-02-28
27,SH600519,贵州茅台,1500.79,15.458137,1.03,2025-02-28
28,SZ300031,宝通科技,38.78,1.99717,5.15,2025-02-28
29,SZ000678,襄阳轴承,8.69,0.8689999999999999,10.0,2025-02-28
30,SZ300766,每日互动,53.33,1.050601,1.97,2025-02-28
31,SH600734,实达集团,4.8,0.48432,10.09,2025-02-28
32,SZ000536,华映科技,5.91,0.174936,2.96,2025-02-28
33,SH600696,岩石股份,12.28,1.2329119999999998,10.04,2025-02-28
34,SH600470,六国化工,6.05,0.605,10.0,2025-02-28
35,SZ002896,中大力德,104.64,-10.464,-10.0,2025-02-28
36,SZ002580,圣阳股份,14.93,-0.558382,-3.74,2025-02-28
37,SH601995,中金公司,35.27,-3.2660020000000003,-9.26,2025-02-28
38,SH600665,天地源,3.26,0.3305639999999999,10.14,2025-02-28
39,SZ300076,GQY视讯,8.2,1.6449199999999995,20.06,2025-02-28
40,SH600839,四川长虹,11.27,-0.5601189999999999,-4.97,2025-02-28
41,SH603887,城地香江,20.15,1.209,6.0,2025-02-28
42,SZ002195,岩山科技,5.0,0.0504999999999999,1.01,2025-02-28
43,SZ002575,群兴玩具,11.35,1.13273,9.98,2025-02-28
44,SZ301182,凯旺科技,49.18,9.840918,20.01,2025-02-28
45,SZ002140,东华科技,10.07,1.012035,10.05,2025-02-28
46,SZ300718,长盛轴承,92.9,-7.877920000000001,-8.48,2025-02-28
47,SH603667,五洲新春,46.58,-2.389554,-5.13,2025-02-28
48,SZ002402,和而泰,21.61,-2.161,-10.0,2025-02-28
49,SH600602,云赛智联,22.49,-2.249,-10.0,2025-02-28
50,SH605066,天正电气,8.06,0.802776,9.96,2025-02-28
51,SZ000036,华联控股,4.29,0.429,10.0,2025-02-28
52,SZ002123,梦网科技,17.6,0.11088,0.63,2025-02-28
53,SH688256,寒武纪-U,735.44,-55.966984,-7.61,2025-02-28
54,SZ300308,中际旭创,100.87,-6.818812,-6.76,2025-02-28
55,SZ301396,宏景科技,60.58,12.122058,20.01,2025-02-28
56,SZ000063,中兴通讯,38.66,-1.7396999999999998,-4.5,2025-02-28
